,filed_id,record,accident_address,city,area,longitude,latitude
230792,1655884,A000923167,Carrera 33 Calle 99,Medellin,Perímetro Urbano Medellín,,
230961,1655949,A000922986,Carrera 99,Medellin,Perímetro Urbano Medellín,,
232807,1657141,A000924376,Carrera 35 Calle 18,Medellin,Perímetro Urbano Medellín,,
233304,1657382,A000924716,Carrera 99,Medellin,Perímetro Urbano Medellín,,
234295,1657788,A000924990,Carrera 99,Medellin,Perímetro Urbano Medellín,,
234501,1657889,A000925130,Carrera 99,Medellin,Perímetro Urbano Medellín,,
235327,1658459,A000925597,Carrera 99,Medellin,Perímetro Urbano Medellín,,
235728,1658938,A000926116,Diagonal 64 E Calle 67,Medellin,Perímetro Urbano Medellín,,
235759,1658622,A000925871,Calle9,Medellin,Perímetro Urbano Medellín,,
235785,1658621,A000925869,Calle9,Medellin,Perímetro Urbano Medellín,,
237535,1659771,A000927094,Carrera 99,Medellin,Perímetro Urbano Medellín,,
238087,1660294,A000927671,Carrera 64 C Calle 94,Medellin,Perímetro Urbano Medellín,,
238679,1660858,A000928099,Calle 64 Carrera 91,Medellin,Perímetro Urbano Medellín,,
241950,1662517,A000929664,Calle9,Medellin,Perímetro Urbano Medellín,,
242541,1662869,A000929959,Calle 4 Carrera 50,Medellin,Perímetro Urbano Medellín,,
244777,1664435,A000931482,Carrera 76 Calle 90,Medellin,Perímetro Urbano Medellín,,
245091,1664440,A000931807,Calle 5 Carrera 38,Medellin,Perímetro Urbano Medellín,,
245882,1664631,A000932214,Calle9,Medellin,Perímetro Urbano Medellín,,
247430,1665969,A000933141,Calle 90 Carrera 76,Medellín,Perímetro Urbano Medellín,,
249238,1667973,A000993683,Calle9,Medellín,Perímetro Urbano Medellín,,
249258,1667999,A000993895,Calle 30 Carrera 12,Medellín,Perímetro Urbano Medellín,,
249339,1668176,A000993753,Carrera 85 C,Medellín,Perímetro Urbano Medellín,,
249461,1668134,A000994011,Carrera 99,Medellín,Perímetro Urbano Medellín,,
250420,1669204,A000995016,Calle 50 Carrera 64 A,Medellín,Perímetro Urbano Medellín,,
251220,1669885,A000995875,Carrera 99,Medellín,Perímetro Urbano Medellín,,
251236,1670406,A000996089,Carrera 39 Calle 81,Medellín,Perímetro Urbano Medellín,,
251657,1670516,A000996105,Carrera 76 Calle 113,Medellín,Perímetro Urbano Medellín,,
251966,1670721,A000996333,Calle9,Medellín,Perímetro Urbano Medellín,,
252043,1670994,A000996564,Carrera 32 Calle 8,Medellín,Perímetro Urbano Medellín,,
252074,1671090,A000997072,Calle 42 Carrera 6 Sur,Medellín,Perímetro Urbano Medellín,,
