Row Labels,Crashes by year,,,,,,
2016,"46,446",,,,,,
2017,"44,907",,,,,,
2018,"42,114",,,,,,
2019,"44,853",,,,,,
Grand Total,"178,320",,,,,,
,,,,,,,
,,,,,,,
Crashes by year,Column Labels,,,,,,
Row Labels,Collision,Conflagration,Occupant_Fall,Other,Rollover,Run_Over,Grand Total
2016,"30,851",4,"4,096","5,488","1,723","4,279","46,441"
2017,"30,618",4,"3,714","5,138","1,767","3,666","44,907"
2018,"29,385",9,"3,826","4,038","1,251","3,604","42,113"
2019,"30,268",9,"3,785","4,896","1,774","4,121","44,853"
Grand Total,"121,122",26,"15,421","19,560","6,515","15,670","178,314"
,,,,,,,
Crashes by year,Column Labels,,,,,,
Row Labels,2016,2017,2018,2019,Grand Total,,
1,"3,245","3,427","3,090","3,056","12,818",,
2,"3,804","3,779","3,378","3,329","14,290",,
3,"3,860","3,817","3,510","3,326","14,513",,
4,"3,929","3,542","3,510","3,341","14,322",,
5,"3,878","3,922","3,672","3,661","15,133",,
6,"3,667","3,604","3,455","3,435","14,161",,
7,"3,918","3,773","3,474","3,888","15,053",,
8,"4,207","4,099","3,758","4,333","16,397",,
9,"4,058","3,933","3,602","4,209","15,802",,
10,"4,195","3,761","3,681","4,284","15,921",,
11,"3,861","3,594","3,435","3,824","14,714",,
12,"3,824","3,656","3,549","4,167","15,196",,
Grand Total,"46,446","44,907","42,114","44,853","178,320",,
,,,,,,,
,,,,,,,
Crashes by year,Column Labels,,,,,,
Row Labels,Dead,Injured,Property_Damage,Grand Total,,,
2016,1,"26,298","20,147","46,446",,,
2017,1,"24,392","20,514","44,907",,,
2018,42,"22,130","19,942","42,114",,,
2019,139,"24,419","20,295","44,853",,,
Grand Total,183,"97,239","80,898","178,320",,,
,,,,,,,
Row Labels,Crashes by year,,,,,,
Female,14.20%,,,,,,
Male,64.04%,,,,,,
Unknown,21.76%,,,,,,
Grand Total,100.00%,,,,,,
,,,,,,,
,,,,,,,
Row Labels,Crashes by year,,,,,,
0,299,,Row Labels,Crashes by year,,,
1,4,,Road_Segment,"118,043",,,
2,4,,Intersection,"31,025",,,
3,6,,Lot,"20,763",,,
4,6,,Roundabout,"5,111",,,
5,10,,Overpass,"1,138",,,
6,9,,Bridge,837,,,
7,19,,Bike_Route,651,,,
8,22,,Underpass,528,,,
9,26,,Grade_Crossing,103,,,
10,21,,Tunnel,51,,,
11,19,,Crosswalk,42,,,
12,24,,Pontoon_Bridge,28,,,
13,33,,Grand Total,"178,320",,,
14,73,,,,,,
15,149,,,,,,
16,539,,,,,,
17,"1,202",,,,,,
18,"1,908",,,,,,
19,"2,907",,,,,,
20,"3,656",,,,,,
21,"4,258",,,,,,
22,"4,428",,,,,,
23,"4,603",,,,,,
24,"4,663",,,,,,
25,"4,649",,,,,,
26,"4,563",,,,,,
27,"4,661",,,,,,
28,"4,443",,,,,,
29,"4,406",,,,,,
30,"4,161",,,,,,
31,"4,061",,,,,,
32,"3,899",,,,,,
33,"3,833",,,,,,
34,"3,727",,,,,,
35,"3,825",,,,,,
36,"3,745",,,,,,
37,"3,500",,,,,,
38,"3,187",,,,,,
39,"2,875",,,,,,
40,"2,613",,,,,,
41,"2,422",,,,,,
42,"2,412",,,,,,
43,"2,270",,,,,,
44,"2,190",,,,,,
45,"2,386",,,,,,
46,"4,072",,,,,,
47,"4,675",,,,,,
48,"4,743",,,,,,
49,"2,660",,,,,,
50,"2,055",,,,,,
51,"1,941",,,,,,
52,"1,893",,,,,,
53,"1,777",,,,,,
54,"1,687",,,,,,
55,"1,516",,,,,,
56,"1,420",,,,,,
57,"1,288",,,,,,
58,"1,201",,,,,,
59,"1,082",,,,,,
60,"1,019",,,,,,
61,873,,,,,,
62,794,,,,,,
63,638,,,,,,
64,633,,,,,,
65,507,,,,,,
66,512,,,,,,
67,481,,,,,,
68,416,,,,,,
69,328,,,,,,
70,289,,,,,,
71,257,,,,,,
72,167,,,,,,
73,152,,,,,,
74,144,,,,,,
75,116,,,,,,
76,114,,,,,,
77,79,,,,,,
78,76,,,,,,
79,35,,,,,,
80,39,,,,,,
81,33,,,,,,
82,25,,,,,,
83,19,,,,,,
84,19,,,,,,
85,12,,,,,,
86,12,,,,,,
87,9,,,,,,
88,6,,,,,,
89,6,,,,,,
90,3,,,,,,
91,1,,,,,,
92,5,,,,,,
93,2,,,,,,
94,2,,,,,,
95,1,,,,,,
96,3,,,,,,
97,5,,,,,,
98,4,,,,,,
99,1,,,,,,
102,17,,,,,,
103,74,,,,,,
104,117,,,,,,
105,99,,,,,,
106,101,,,,,,
107,76,,,,,,
108,42,,,,,,
109,12,,,,,,
115,1,,,,,,
116,30,,,,,,
117,24,,,,,,
118,20,,,,,,
119,1,,,,,,
137,1,,,,,,
(blank),"35,142",,,,,,
Grand Total,"178,320",,,,,,
